scenario_id,student_id,rank,project_id
base,137,15,15
base,137,16,27
base,137,17,18
base,137,18,147
base,137,19,141
base,137,20,19
base,138,1,20
base,138,2,1
base,138,3,19
base,138,4,151
base,138,5,17
base,138,6,15
base,138,7,27
base,138,8,12
base,138,9,18
base,138,10,9
base,138,11,193
base,138,12,36
base,138,13,31
base,138,14,11
base,138,15,2
base,138,16,26
base,138,17,3
base,138,18,113
base,138,19,32
base,138,20,22
base,139,1,2
base,139,2,11
base,139,3,19
base,139,4,169
base,139,5,48
base,139,6,22
base,139,7,32
base,139,8,36
base,139,9,9
base,139,10,15
base,139,11,43
base,139,12,27
base,139,13,34
base,139,14,92
base,139,15,69
base,139,16,26
base,139,17,18
base,139,18,1
base,139,19,31
base,139,20,10
base,140,1,36
base,140,2,11
base,140,3,50
base,140,4,22
base,140,5,3
base,140,6,9
base,140,7,192
base,140,8,26
base,140,9,15
base,140,10,34
base,140,11,31
base,140,12,32
base,140,13,19
base,140,14,183
base,140,15,27
base,140,16,76
base,140,17,12
base,140,18,37
base,140,19,175
base,140,20,61
base,141,1,199
base,141,2,76
base,141,3,133
base,141,4,15
base,141,5,31
base,141,6,26
base,141,7,17
base,141,8,2
base,141,9,20
base,141,10,196
base,141,11,32
base,141,12,143
base,141,13,27
base,141,14,1
base,141,15,80
base,141,16,193
base,141,17,10
base,141,18,57
base,141,19,18
base,141,20,3
base,142,1,199
base,142,2,1
base,142,3,31
base,142,4,12
base,142,5,2
base,142,6,27
base,142,7,20
base,142,8,192
base,142,9,18
base,142,10,80
base,142,11,22
base,142,12,19
base,142,13,10
base,142,14,138
base,142,15,32
base,142,16,15
base,142,17,129
base,142,18,3
base,142,19,36
base,142,20,49
base,143,1,17
base,143,2,27
base,143,3,34
base,143,4,83
base,143,5,15
base,143,6,36
base,143,7,26
base,143,8,3
base,143,9,12
base,143,10,32
base,143,11,9
base,143,12,161
base,143,13,2
base,143,14,1
base,143,15,175
base,143,16,193
base,143,17,37
base,143,18,19
base,143,19,20
base,143,20,199
base,144,1,69
base,144,2,106
base,144,3,3
base,144,4,18
base,144,5,133
base,144,6,36
base,144,7,27
base,144,8,196
base,144,9,11
base,144,10,37
base,144,11,109
base,144,12,32
base,144,13,10
base,144,14,43
base,144,15,15
base,144,16,22
base,144,17,26
base,144,18,1
base,144,19,17
base,144,20,138
base,145,1,10
base,145,2,15
base,145,3,27
base,145,4,19
base,145,5,31
base,145,6,76
base,145,7,48
base,145,8,2
base,145,9,17
base,145,10,32
base,145,11,37
base,145,12,161
base,145,13,12
base,145,14,9
base,145,15,166
base,145,16,11
base,145,17,34
base,145,18,22
base,145,19,18
base,145,20,183
base,146,1,66
base,146,2,34
base,146,3,174
base,146,4,1
base,146,5,18
base,146,6,22
base,146,7,9
base,146,8,61
base,146,9,113
base,146,10,119
base,146,11,112
base,146,12,19
base,146,13,32
base,146,14,2
base,146,15,133
base,146,16,76
base,146,17,31
base,146,18,36
base,146,19,26
base,146,20,73
base,147,1,92
base,147,2,171
base,147,3,178
base,147,4,107
base,147,5,37
base,147,6,36
base,147,7,9
base,147,8,150
base,147,9,57
base,147,10,48
base,147,11,179
base,147,12,19
base,147,13,191
base,147,14,18
base,147,15,159
base,147,16,119
base,147,17,32
base,147,18,161
base,147,19,34
base,147,20,17
base,148,1,12
base,148,2,26
base,148,3,37
base,148,4,19
base,148,5,3
base,148,6,172
base,148,7,145
base,148,8,9
base,148,9,10
base,148,10,31
base,148,11,50
base,148,12,27
base,148,13,43
base,148,14,22
base,148,15,110
base,148,16,15
base,148,17,80
base,148,18,17
base,148,19,18
base,148,20,11
base,149,1,36
base,149,2,32
base,149,3,1
base,149,4,31
base,149,5,3
base,149,6,27
base,149,7,15
base,149,8,12
base,149,9,37
base,149,10,132
base,149,11,34
base,149,12,118
base,149,13,133
base,149,14,10
base,149,15,9
base,149,16,2
base,149,17,143
base,149,18,19
base,149,19,17
base,149,20,129
base,150,1,10
base,150,2,32
base,150,3,9
base,150,4,17
base,150,5,20
base,150,6,26
base,150,7,22
base,150,8,34
base,150,9,62
base,150,10,12
base,150,11,150
base,150,12,11
base,150,13,19
base,150,14,27
base,150,15,37
base,150,16,3
base,150,17,1
base,150,18,118
base,150,19,142
base,150,20,36
base,151,1,20
base,151,2,26
base,151,3,31
base,151,4,81
base,151,5,57
base,151,6,18
base,151,7,2
base,151,8,27
base,151,9,10
base,151,10,9
base,151,11,48
base,151,12,118
base,151,13,12
base,151,14,19
base,151,15,15
base,151,16,37
base,151,17,17
base,151,18,11
base,151,19,150
base,151,20,22
base,152,1,17
base,152,2,11
base,152,3,15
base,152,4,36
base,152,5,31
base,152,6,26
base,152,7,10
base,152,8,37
base,152,9,113
base,152,10,133
base,152,11,22
base,152,12,20
base,152,13,19
base,152,14,171
base,152,15,27
base,152,16,2
base,152,17,9
base,152,18,125
base,152,19,1
base,152,20,61
base,153,1,11
base,153,2,196
base,153,3,1
base,153,4,132
base,153,5,159
base,153,6,34
base,153,7,36
base,153,8,17
base,153,9,142
base,153,10,20
base,153,11,61
base,153,12,12
base,153,13,9
base,153,14,15
base,153,15,18
base,153,16,10
base,153,17,103
base,153,18,31
base,153,19,27
base,153,20,26
base,154,1,2
base,154,2,32
base,154,3,9
base,154,4,17
base,154,5,27
base,154,6,18
base,154,7,19
base,154,8,12
base,154,9,138
base,154,10,22
base,154,11,34
base,154,12,10
base,154,13,31
base,154,14,26
base,154,15,11
base,154,16,62
base,154,17,53
base,154,18,147
base,154,19,150
base,154,20,189
base,155,1,3
base,155,2,37
base,155,3,17
base,155,4,12
base,155,5,106
base,155,6,73
base,155,7,20
base,155,8,36
base,155,9,1
base,155,10,27
base,155,11,15
base,155,12,26
base,155,13,31
base,155,14,2
base,155,15,9
base,155,16,133
base,155,17,34
base,155,18,18
base,155,19,10
base,155,20,19
base,156,1,27
base,156,2,37
base,156,3,17
base,156,4,1
base,156,5,2
base,156,6,10
base,156,7,15
base,156,8,31
base,156,9,22
base,156,10,20
base,156,11,32
base,156,12,3
base,156,13,106
base,156,14,34
base,156,15,69
base,156,16,112
base,156,17,19
base,156,18,18
base,156,19,26
base,156,20,113
base,157,1,175
base,157,2,9
base,157,3,11
base,157,4,12
base,157,5,27
base,157,6,36
base,157,7,43
base,157,8,18
base,157,9,37
base,157,10,15
base,157,11,26
base,157,12,10
base,157,13,34
base,157,14,32
base,157,15,86
base,157,16,106
base,157,17,19
base,157,18,178
base,157,19,48
base,157,20,22
base,158,1,57
base,158,2,130
base,158,3,22
base,158,4,37
base,158,5,3
base,158,6,10
base,158,7,59
base,158,8,20
base,158,9,12
base,158,10,18
base,158,11,36
base,158,12,27
base,158,13,15
base,158,14,103
base,158,15,71
base,158,16,1
base,158,17,26
base,158,18,68
base,158,19,69
base,158,20,17
base,159,1,17
base,159,2,9
base,159,3,34
base,159,4,32
base,159,5,48
base,159,6,161
base,159,7,22
base,159,8,199
base,159,9,10
base,159,10,147
base,159,11,12
base,159,12,20
base,159,13,93
base,159,14,171
base,159,15,26
base,159,16,106
base,159,17,27
base,159,18,1
base,159,19,3
base,159,20,166
base,160,1,19
base,160,2,142
base,160,3,143
base,160,4,22
base,160,5,172
base,160,6,32
base,160,7,34
base,160,8,11
base,160,9,17
base,160,10,37
base,160,11,189
base,160,12,26
base,160,13,9
base,160,14,141
base,160,15,31
base,160,16,104
base,160,17,93
base,160,18,20
base,160,19,2
base,160,20,145
base,161,1,22
base,161,2,36
base,161,3,31
base,161,4,12
base,161,5,11
base,161,6,1
base,161,7,17
base,161,8,166
base,161,9,2
base,161,10,26
base,161,11,138
base,161,12,32
base,161,13,27
base,161,14,20
base,161,15,34
base,161,16,3
base,161,17,151
base,161,18,19
base,161,19,69
base,161,20,15
base,162,1,19
base,162,2,22
base,162,3,26
base,162,4,18
base,162,5,27
base,162,6,191
base,162,7,32
base,162,8,3
base,162,9,1
base,162,10,177
base,162,11,144
base,162,12,11
base,162,13,17
base,162,14,2
base,162,15,9
base,162,16,20
base,162,17,31
base,162,18,37
base,162,19,93
base,162,20,10
base,163,1,145
base,163,2,34
base,163,3,10
base,163,4,22
base,163,5,69
base,163,6,20
base,163,7,172
base,163,8,1
base,163,9,17
base,163,10,3
base,163,11,15
base,163,12,37
base,163,13,73
base,163,14,27
base,163,15,151
base,163,16,9
base,163,17,18
base,163,18,12
base,163,19,2
base,163,20,19
base,164,1,1
base,164,2,32
base,164,3,123
base,164,4,22
base,164,5,12
base,164,6,27
base,164,7,113
base,164,8,26
base,164,9,31
base,164,10,20
base,164,11,17
base,164,12,126
base,164,13,68
base,164,14,19
base,164,15,36
base,164,16,10
base,164,17,142
base,164,18,199
base,164,19,18
base,164,20,15
base,165,1,11
base,165,2,18
base,165,3,15
base,165,4,2
base,165,5,37
base,165,6,34
base,165,7,10
base,165,8,3
base,165,9,32
base,165,10,93
base,165,11,191
base,165,12,1
base,165,13,177
base,165,14,183
base,165,15,51
base,165,16,12
base,165,17,138
base,165,18,130
base,165,19,20
base,165,20,27
base,166,1,11
base,166,2,165
base,166,3,113
base,166,4,2
base,166,5,15
base,166,6,9
base,166,7,12
base,166,8,1
base,166,9,32
base,166,10,18
base,166,11,36
base,166,12,84
base,166,13,130
base,166,14,31
base,166,15,34
base,166,16,22
base,166,17,37
base,166,18,27
base,166,19,17
base,166,20,3
base,167,1,22
base,167,2,130
base,167,3,86
base,167,4,1
base,167,5,132
base,167,6,175
base,167,7,10
base,167,8,19
base,167,9,37
base,167,10,12
base,167,11,20
base,167,12,11
base,167,13,150
base,167,14,26
base,167,15,27
base,167,16,36
base,167,17,17
base,167,18,18
base,167,19,3
base,167,20,9
base,168,1,11
base,168,2,92
base,168,3,32
base,168,4,10
base,168,5,19
base,168,6,183
base,168,7,174
base,168,8,34
base,168,9,20
base,168,10,26
base,168,11,9
base,168,12,152
base,168,13,17
base,168,14,27
base,168,15,123
base,168,16,12
base,168,17,1
base,168,18,3
base,168,19,22
base,168,20,15
base,169,1,36
base,169,2,27
base,169,3,12
base,169,4,15
base,169,5,31
base,169,6,46
base,169,7,3
base,169,8,10
base,169,9,22
base,169,10,110
base,169,11,1
base,169,12,26
base,169,13,18
base,169,14,34
base,169,15,11
base,169,16,2
base,169,17,193
base,169,18,43
base,169,19,17
base,169,20,19
base,170,1,113
base,170,2,31
base,170,3,36
base,170,4,20
base,170,5,26
base,170,6,103
base,170,7,144
base,170,8,19
base,170,9,1
base,170,10,3
base,170,11,46
base,170,12,27
base,170,13,81
base,170,14,194
base,170,15,15
base,170,16,109
base,170,17,17
base,170,18,62
base,170,19,11
base,170,20,172
base,171,1,32
base,171,2,9
base,171,3,27
base,171,4,175
base,171,5,31
base,171,6,18
base,171,7,1
base,171,8,3
base,171,9,11
base,171,10,10
base,171,11,20
base,171,12,26
base,171,13,22
base,171,14,86
base,171,15,12
base,171,16,15
base,171,17,176
base,171,18,37
base,171,19,189
base,171,20,107
base,172,1,93
base,172,2,3
base,172,3,11
base,172,4,143
base,172,5,110
base,172,6,31
base,172,7,37
base,172,8,34
base,172,9,27
base,172,10,176
base,172,11,66
base,172,12,17
base,172,13,1
base,172,14,9
base,172,15,53
base,172,16,32
base,172,17,12
base,172,18,18
base,172,19,20
base,172,20,50
base,173,1,9
base,173,2,10
base,173,3,27
base,173,4,141
base,173,5,51
base,173,6,106
base,173,7,3
base,173,8,19
base,173,9,12
base,173,10,93
base,173,11,66
base,173,12,37
base,173,13,22
base,173,14,11
base,173,15,132
base,173,16,175
base,173,17,49
base,173,18,20
base,173,19,18
base,173,20,36
base,174,1,48
base,174,2,20
base,174,3,10
base,174,4,165
base,174,5,2
base,174,6,53
base,174,7,32
base,174,8,3
base,174,9,18
base,174,10,1
base,174,11,11
base,174,12,109
base,174,13,15
base,174,14,22
base,174,15,76
base,174,16,12
base,174,17,9
base,174,18,43
base,174,19,26
base,174,20,27
base,175,1,19
base,175,2,32
base,175,3,37
base,175,4,118
base,175,5,81
base,175,6,10
base,175,7,15
base,175,8,31
base,175,9,17
base,175,10,11
base,175,11,36
base,175,12,20
base,175,13,26
base,175,14,165
base,175,15,18
base,175,16,34
base,175,17,27
base,175,18,9
base,175,19,179
base,175,20,49
base,176,1,123
base,176,2,32
base,176,3,171
base,176,4,11
base,176,5,19
base,176,6,1
base,176,7,36
base,176,8,12
base,176,9,37
base,176,10,34
base,176,11,20
base,176,12,111
base,176,13,26
base,176,14,48
base,176,15,27
base,176,16,9
base,176,17,84
base,176,18,10
base,176,19,174
base,176,20,103
base,177,1,11
base,177,2,133
base,177,3,27
base,177,4,165
base,177,5,1
base,177,6,19
base,177,7,17
base,177,8,34
base,177,9,12
base,177,10,2
base,177,11,26
base,177,12,108
base,177,13,18
base,177,14,22
base,177,15,10
base,177,16,50
base,177,17,31
base,177,18,43
base,177,19,169
base,177,20,32
base,178,1,179
base,178,2,31
base,178,3,93
base,178,4,36
base,178,5,32
base,178,6,22
base,178,7,199
base,178,8,18
base,178,9,145
base,178,10,119
base,178,11,12
base,178,12,50
base,178,13,80
base,178,14,86
base,178,15,3
base,178,16,174
base,178,17,37
base,178,18,1
base,178,19,34
base,178,20,10
base,179,1,11
base,179,2,1
base,179,3,143
base,179,4,114
base,179,5,22
base,179,6,19
base,179,7,37
base,179,8,71
base,179,9,27
base,179,10,111
base,179,11,32
base,179,12,18
base,179,13,48
base,179,14,150
base,179,15,17
base,179,16,31
base,179,17,26
base,179,18,80
base,179,19,20
base,179,20,36
base,180,1,22
base,180,2,172
base,180,3,15
base,180,4,31
base,180,5,10
base,180,6,12
base,180,7,43
base,180,8,17
base,180,9,138
base,180,10,18
base,180,11,20
base,180,12,2
base,180,13,1
base,180,14,34
base,180,15,145
base,180,16,37
base,180,17,3
base,180,18,11
base,180,19,152
base,180,20,125
base,181,1,22
base,181,2,10
base,181,3,34
base,181,4,110
base,181,5,9
base,181,6,17
base,181,7,15
base,181,8,18
base,181,9,151
base,181,10,1
base,181,11,12
base,181,12,36
base,181,13,27
base,181,14,37
base,181,15,192
base,181,16,32
base,181,17,26
base,181,18,84
base,181,19,2
base,181,20,71
base,182,1,26
base,182,2,19
base,182,3,69
base,182,4,3
base,182,5,18
base,182,6,169
base,182,7,37
base,182,8,119
base,182,9,15
base,182,10,32
base,182,11,20
base,182,12,9
base,182,13,12
base,182,14,2
base,182,15,22
base,182,16,151
base,182,17,1
base,182,18,27
base,182,19,31
base,182,20,17
base,183,1,36
base,183,2,31
base,183,3,12
base,183,4,17
base,183,5,177
base,183,6,20
base,183,7,22
base,183,8,34
base,183,9,73
base,183,10,37
base,183,11,166
base,183,12,126
base,183,13,1
base,183,14,3
base,183,15,152
base,183,16,2
base,183,17,27
base,183,18,9
base,183,19,133
base,183,20,11
base,184,1,126
base,184,2,2
base,184,3,22
base,184,4,27
base,184,5,18
base,184,6,9
base,184,7,10
base,184,8,1
base,184,9,3
base,184,10,193
base,184,11,34
base,184,12,31
base,184,13,12
base,184,14,15
base,184,15,86
base,184,16,112
base,184,17,93
base,184,18,106
base,184,19,161
base,184,20,19
base,185,1,20
base,185,2,26
base,185,3,9
base,185,4,31
base,185,5,17
base,185,6,2
base,185,7,1
base,185,8,36
base,185,9,3
base,185,10,18
base,185,11,183
base,185,12,22
base,185,13,66
base,185,14,15
base,185,15,19
base,185,16,51
base,185,17,126
base,185,18,12
base,185,19,93
base,185,20,138
base,186,1,9
base,186,2,22
base,186,3,17
base,186,4,10
base,186,5,12
base,186,6,189
base,186,7,36
base,186,8,171
base,186,9,1
base,186,10,32
base,186,11,34
base,186,12,15
base,186,13,11
base,186,14,26
base,186,15,2
base,186,16,76
base,186,17,20
base,186,18,151
base,186,19,178
base,186,20,81
base,187,1,101
base,187,2,145
base,187,3,177
base,187,4,27
base,187,5,11
base,187,6,37
base,187,7,150
base,187,8,133
base,187,9,19
base,187,10,15
base,187,11,36
base,187,12,9
base,187,13,17
base,187,14,2
base,187,15,81
base,187,16,1
base,187,17,20
base,187,18,18
base,187,19,12
base,187,20,22
base,188,1,36
base,188,2,26
base,188,3,17
base,188,4,9
base,188,5,3
base,188,6,12
base,188,7,113
base,188,8,1
base,188,9,2
base,188,10,37
base,188,11,15
base,188,12,10
base,188,13,53
base,188,14,32
base,188,15,179
base,188,16,27
base,188,17,34
base,188,18,19
base,188,19,66
base,188,20,18
base,189,1,17
base,189,2,19
base,189,3,10
base,189,4,31
base,189,5,36
base,189,6,37
base,189,7,3
base,189,8,27
base,189,9,2
base,189,10,32
base,189,11,26
base,189,12,18
base,189,13,20
base,189,14,34
base,189,15,22
base,189,16,176
base,189,17,9
base,189,18,12
base,189,19,71
base,189,20,174
base,190,1,108
base,190,2,84
base,190,3,2
base,190,4,141
base,190,5,22
base,190,6,37
base,190,7,125
base,190,8,107
base,190,9,27
base,190,10,1
base,190,11,36
base,190,12,17
base,190,13,26
base,190,14,18
base,190,15,20
base,190,16,69
base,190,17,12
base,190,18,71
base,190,19,43
base,190,20,19
base,191,1,133
base,191,2,19
base,191,3,27
base,191,4,34
base,191,5,3
base,191,6,32
base,191,7,9
base,191,8,17
base,191,9,18
base,191,10,11
base,191,11,2
base,191,12,10
base,191,13,63
base,191,14,20
base,191,15,109
base,191,16,66
base,191,17,194
base,191,18,15
base,191,19,22
base,191,20,31
base,192,1,27
base,192,2,12
base,192,3,11
base,192,4,18
base,192,5,191
base,192,6,20
base,192,7,138
base,192,8,178
base,192,9,3
base,192,10,83
base,192,11,34
base,192,12,10
base,192,13,1
base,192,14,165
base,192,15,31
base,192,16,22
base,192,17,37
base,192,18,9
base,192,19,19
base,192,20,26
base,193,1,2
base,193,2,34
base,193,3,9
base,193,4,20
base,193,5,22
base,193,6,147
base,193,7,18
base,193,8,159
base,193,9,151
base,193,10,10
base,193,11,27
base,193,12,31
base,193,13,11
base,193,14,51
base,193,15,129
base,193,16,17
base,193,17,172
base,193,18,12
base,193,19,32
base,193,20,1
base,194,1,18
base,194,2,2
base,194,3,15
base,194,4,165
base,194,5,17
base,194,6,36
base,194,7,1
base,194,8,19
base,194,9,9
base,194,10,34
base,194,11,27
base,194,12,11
base,194,13,26
base,194,14,20
base,194,15,3
base,194,16,10
base,194,17,31
base,194,18,160
base,194,19,180
base,194,20,51
base,195,1,2
base,195,2,18
base,195,3,10
base,195,4,9
base,195,5,12
base,195,6,11
base,195,7,104
base,195,8,194
base,195,9,3
base,195,10,1
base,195,11,15
base,195,12,17
base,195,13,110
base,195,14,177
base,195,15,20
base,195,16,36
base,195,17,59
base,195,18,19
base,195,19,31
base,195,20,66
base,196,1,177
base,196,2,11
base,196,3,143
base,196,4,36
base,196,5,27
base,196,6,20
base,196,7,1
base,196,8,9
base,196,9,19
base,196,10,32
base,196,11,18
base,196,12,15
base,196,13,199
base,196,14,34
base,196,15,26
base,196,16,2
base,196,17,37
base,196,18,125
base,196,19,3
base,196,20,71
base,197,1,143
base,197,2,119
base,197,3,37
base,197,4,3
base,197,5,12
base,197,6,18
base,197,7,17
base,197,8,26
base,197,9,51
base,197,10,102
base,197,11,166
base,197,12,19
base,197,13,34
base,197,14,31
base,197,15,36
base,197,16,32
base,197,17,27
base,197,18,9
base,197,19,107
base,197,20,11
base,198,1,34
base,198,2,32
base,198,3,179
base,198,4,20
base,198,5,109
base,198,6,3
base,198,7,43
base,198,8,50
base,198,9,31
base,198,10,26
base,198,11,17
base,198,12,11
base,198,13,145
base,198,14,51
base,198,15,142
base,198,16,22
base,198,17,15
base,198,18,12
base,198,19,76
base,198,20,10
base,199,1,22
base,199,2,166
base,199,3,109
base,199,4,32
base,199,5,12
base,199,6,19
base,199,7,112
base,199,8,15
base,199,9,31
base,199,10,62
base,199,11,9
base,199,12,1
base,199,13,17
base,199,14,37
base,199,15,2
base,199,16,11
base,199,17,20
base,199,18,193
base,199,19,27
base,199,20,18
base,200,1,125
base,200,2,143
base,200,3,11
base,200,4,12
base,200,5,18
base,200,6,32
base,200,7,109
base,200,8,10
base,200,9,22
base,200,10,36
base,200,11,17
base,200,12,37
base,200,13,15
base,200,14,9
base,200,15,71
base,200,16,1
base,200,17,160
base,200,18,34
base,200,19,26
base,200,20,20
base,201,1,32
base,201,2,2
base,201,3,20
base,201,4,57
base,201,5,34
base,201,6,18
base,201,7,76
base,201,8,11
base,201,9,37
base,201,10,27
base,201,11,9
base,201,12,26
base,201,13,1
base,201,14,12
base,201,15,3
base,201,16,31
base,201,17,166
base,201,18,22
base,201,19,68
base,201,20,15
base,202,1,34
base,202,2,31
base,202,3,196
base,202,4,1
base,202,5,9
base,202,6,17
base,202,7,10
base,202,8,144
base,202,9,15
base,202,10,37
base,202,11,166
base,202,12,32
base,202,13,179
base,202,14,36
base,202,15,103
base,202,16,108
base,202,17,19
base,202,18,2
base,202,19,11
base,202,20,126
base,203,1,15
base,203,2,12
base,203,3,20
base,203,4,10
base,203,5,27
base,203,6,161
base,203,7,2
base,203,8,118
base,203,9,17
base,203,10,32
base,203,11,37
base,203,12,19
base,203,13,22
base,203,14,130
base,203,15,11
base,203,16,123
base,203,17,1
base,203,18,9
base,203,19,151
base,203,20,3
base,204,1,9
base,204,2,12
base,204,3,106
base,204,4,32
base,204,5,22
base,204,6,17
base,204,7,165
base,204,8,36
base,204,9,112
base,204,10,20
base,204,11,110
base,204,12,34
base,204,13,1
base,204,14,63
base,204,15,27
base,204,16,51
base,204,17,49
base,204,18,2
base,204,19,10
base,204,20,194
base,205,1,34
base,205,2,32
base,205,3,2
base,205,4,10
base,205,5,9
base,205,6,11
base,205,7,20
base,205,8,12
base,205,9,19
base,205,10,37
base,205,11,112
base,205,12,17
base,205,13,175
base,205,14,26
base,205,15,50
base,205,16,199
base,205,17,22
base,205,18,57
base,205,19,1
base,205,20,66
base,206,1,11
base,206,2,183
base,206,3,18
base,206,4,1
base,206,5,178
base,206,6,37
base,206,7,22
base,206,8,102
base,206,9,17
base,206,10,20
base,206,11,10
base,206,12,36
base,206,13,12
base,206,14,199
base,206,15,9
base,206,16,92
base,206,17,34
base,206,18,31
base,206,19,32
base,206,20,133
base,207,1,19
base,207,2,22
base,207,3,36
base,207,4,31
base,207,5,17
base,207,6,27
base,207,7,26
base,207,8,32
base,207,9,34
base,207,10,175
base,207,11,9
base,207,12,63
base,207,13,11
base,207,14,2
base,207,15,61
base,207,16,1
base,207,17,114
base,207,18,10
base,207,19,37
base,207,20,147
base,208,1,101
base,208,2,32
base,208,3,3
base,208,4,2
base,208,5,1
base,208,6,126
base,208,7,48
base,208,8,36
base,208,9,46
base,208,10,11
base,208,11,143
base,208,12,31
base,208,13,18
base,208,14,26
base,208,15,15
base,208,16,141
base,208,17,37
base,208,18,10
base,208,19,20
base,208,20,66
base,209,1,34
base,209,2,27
base,209,3,2
base,209,4,32
base,209,5,175
base,209,6,12
base,209,7,31
base,209,8,179
base,209,9,92
base,209,10,22
base,209,11,152
base,209,12,10
base,209,13,17
base,209,14,36
base,209,15,9
base,209,16,104
base,209,17,51
base,209,18,11
base,209,19,15
base,209,20,110
base,210,1,17
base,210,2,81
base,210,3,2
base,210,4,18
base,210,5,26
base,210,6,19
base,210,7,20
base,210,8,12
base,210,9,31
base,210,10,62
base,210,11,180
base,210,12,151
base,210,13,9
base,210,14,36
base,210,15,11
base,210,16,22
base,210,17,3
base,210,18,10
base,210,19,27
base,210,20,15
base,211,1,46
base,211,2,18
base,211,3,11
base,211,4,36
base,211,5,1
base,211,6,147
base,211,7,31
base,211,8,109
base,211,9,37
base,211,10,2
base,211,11,10
base,211,12,34
base,211,13,12
base,211,14,160
base,211,15,3
base,211,16,27
base,211,17,17
base,211,18,177
base,211,19,19
base,211,20,110
base,212,1,31
base,212,2,177
base,212,3,10
base,212,4,19
base,212,5,2
base,212,6,22
base,212,7,20
base,212,8,1
base,212,9,26
base,212,10,36
base,212,11,9
base,212,12,113
base,212,13,86
base,212,14,61
base,212,15,50
base,212,16,18
base,212,17,34
base,212,18,12
base,212,19,3
base,212,20,27
base,213,1,19
base,213,2,26
base,213,3,22
base,213,4,3
base,213,5,31
base,213,6,10
base,213,7,32
base,213,8,66
base,213,9,18
base,213,10,20
base,213,11,36
base,213,12,17
base,213,13,147
base,213,14,27
base,213,15,11
base,213,16,1
base,213,17,9
base,213,18,37
base,213,19,110
base,213,20,57
base,214,1,59
base,214,2,26
base,214,3,3
base,214,4,2
base,214,5,34
base,214,6,176
base,214,7,10
base,214,8,31
base,214,9,27
base,214,10,192
base,214,11,17
base,214,12,61
base,214,13,178
base,214,14,113
base,214,15,9
base,214,16,20
base,214,17,36
base,214,18,18
base,214,19,11
base,214,20,37
base,215,1,31
base,215,2,12
base,215,3,19
base,215,4,68
base,215,5,11
base,215,6,22
base,215,7,152
base,215,8,3
base,215,9,86
base,215,10,9
base,215,11,132
base,215,12,53
base,215,13,15
base,215,14,1
base,215,15,34
base,215,16,37
base,215,17,18
base,215,18,20
base,215,19,10
base,215,20,27
base,216,1,27
base,216,2,31
base,216,3,32
base,216,4,11
base,216,5,18
base,216,6,68
base,216,7,12
base,216,8,19
base,216,9,3
base,216,10,69
base,216,11,34
base,216,12,93
base,216,13,26
base,216,14,151
base,216,15,17
base,216,16,177
base,216,17,50
base,216,18,10
base,216,19,172
base,216,20,161
base,217,1,10
base,217,2,37
base,217,3,20
base,217,4,80
base,217,5,178
base,217,6,12
base,217,7,1
base,217,8,36
base,217,9,34
base,217,10,15
base,217,11,27
base,217,12,31
base,217,13,66
base,217,14,18
base,217,15,57
base,217,16,2
base,217,17,145
base,217,18,26
base,217,19,22
base,217,20,3
base,218,1,18
base,218,2,10
base,218,3,17
base,218,4,138
base,218,5,125
