project_id,project_name,professor_email,description,tags
4244,Основные риски недостоверности финансовой отчетности в госсекторе,teacher_13,"Исследование направлено на выявление и анализ рисков, связанных с искажением финансовой информации в государственных учреждениях. Рассматриваются макроэкономические последствия недостоверной отчетности для госсектора.","Finance, Economics, Research, Business Analysis"
5662,Использовании ИИ в маркетинге в международных компаниях,teacher_14,В проекте изучается опыт применения технологий искусственного интеллекта в маркетинговых стратегиях глобальных корпораций. Анализируется влияние ИИ на персонализацию предложений и оптимизацию международных рекламных кампаний.,"Marketing, Strategy, Machine Learning, Research"
9587,Использование искусственного интеллекта менеджерами и его влияние на операционную эффективность,teacher_15,"Проект оценивает, как управленческий персонал применяет инструменты ИИ в своей повседневной практике. Исследуется связь между использованием нейросетей менеджерами и ростом операционной эффективности бизнеса.","Research, Machine Learning, Business Analysis, Product Management"
10473,Оптимизация деятельности компании с использованием искусственного интеллекта путем моделирования и внедрения решений,teacher_16,Практико-ориентированный проект по внедрению ИИ-моделей для оптимизации рабочих процессов конкретной организации. Разрабатываются математические модели и оценивается бизнес-эффект от их развертывания.,"Research, Machine Learning, Analytics, Data Science"
10482,Алгоритмы вычисления количества целых точек в многогранниках,teacher_17,"Математическое исследование, посвященное алгоритмическим подходам к подсчету целых точек внутри многогранных областей. Рассматриваются различные вычислительные методы и их асимптотическая сложность.","Research, Analytics, Data Science"
13888,Cuped/multicuped в аб-тестах (тема от партнеров),teacher_18,"Проект от партнеров, сфокусированный на применении методов снижения дисперсии CUPED и Multi-CUPED в A/B-тестировании. Целью является повышение чувствительности экспериментов и ускорение принятия продуктовых решений.","Research, Analytics, Data Science, Product Management"
15136,Протоколирование оффлайн-переговоров на основе нейросетевых моделей обработки речи и больших языковых моделей,teacher_19,Разработка системы автоматической транскрибации и суммаризации оффлайн-встреч с использованием современных LLM. Проект направлен на создание удобного инструмента для фиксации договоренностей на деловых переговорах.,"NLP, Machine Learning, Data Science, Product Management"
18109,Золотухина И.В.: Повышение операционной эффективности компании Х,teacher_20,"Кейс-исследование от Золотухина И.В, посвященное разработке мер по улучшению операционных показателей условной компании Х. Анализируются текущие бизнес-процессы для выявления точек роста и снижения издержек.","Research, Strategy, Business Analysis, Analytics"
26182,Разработка программы повышения экономической эффективности для конкретного предприятия,teacher_18,Прикладная работа по формированию комплекса мер для роста экономической отдачи выбранного предприятия. Проводится детальный экономический анализ для обоснования предлагаемой стратегической программы.,"Economics, Analytics, Finance, Strategy"
1327,Разработка стратегии развития компании Х,teacher_21,Проект подразумевает создание комплексной стратегии развития для компании Х. В ходе работы будут сформулированы долгосрочные цели бизнеса и пути их достижения на основе глубокого анализа рынка.,"Strategy, Product Management, Business Analysis"
1439,Социальные расходы федерального бюджета: анализ направлений и динамика изменений в 2020–2025 гг. ,teacher_22,Исследование посвящено структуре и динамике социальных расходов бюджета РФ в период с 2020 по 2025 годы. Анализируются ключевые направления финансирования и правовое обеспечение данных государственных трат.,"Research, Economics, Finance, Legal Tech"
4423,Сравнительный анализ факторов восприятия брендов в сегментах fast fashion и luxury fashion,teacher_23,"Работа проводит сравнение потребительского восприятия брендов в сегментах быстрой моды и люкса. Анализируются маркетинговые триггеры и репутационные факторы, влияющие на окончательный выбор покупателя.","Research, Marketing, Analytics"
9047,"Анализ эффективности мер поддержки, предоставляемых в рамках реализации национальных проектов технологического лидерства",teacher_24,Проект оценивает результативность государственных мер поддержки технологических инициатив. Исследуется влияние нацпроектов на развитие инноваций и закрепление лидерских позиций бизнеса.,"Research, Economics, Strategy, Business Analysis"
9296,Использование эмоционального маркетинга при продвижении fashion-брендов: возможности и ограничения,teacher_25,В рамках проекта изучается применение эмоционального маркетинга в индустрии моды. Оцениваются его эффективность для продвижения fashion-брендов и возможные репутационные ограничения использования подобных стратегий.,"Marketing, Strategy, Research"
9729,"Логотерапия как философская концепция, теория личности и школа психотерапии",teacher_26,"Теоретическое исследование, раскрывающее феномен Логотерапия одновременно с философской, личностной и психотерапевтической точек зрения. Анализируется концептуальное влияние этой парадигмы на современную науку.","Research, Education, Analytics"
25097,Система анализа товаров с маркетплейсов для выбора оптимального предложения.,teacher_7,Цель проекта — разработка аналитической системы для мониторинга и сравнения товаров на популярных маркетплейсах. Решение поможет пользователям находить наиболее выгодные предложения на основе заданных алгоритмов.,"Marketing, Strategy, Analytics, Web Development"
3615,Срыв (прокалывание) корпоративной вуали,teacher_27,Юридическое исследование доктрины снятия корпоративной вуали и привлечения бенефициаров бизнеса к ответственности. Анализируются актуальные судебные прецеденты и правоприменительная практика в данной сфере.,"Research, Legal Tech, Business Analysis"
3881,Проблемы рационального выбора исполнителей услуг в контексте реализации государственного социального заказа,teacher_28,"Работа посвящена процессу отбора поставщиков социальных услуг в рамках формирования государственного социального заказа. Изучаются институциональные барьеры и критерии, влияющие на эффективность принятия управленческих решений.","Research, Economics, Strategy, Analytics"
7481,"Анализ взаимосвязи цен на жилье, арендной платы и строительства в регионах России",teacher_29,"Проводится макроэкономический анализ рынка недвижимости в различных регионах России. Проект исследует статистическую взаимосвязь между темпами строительства, стоимостью жилья и ставками аренды.","Research, Economics, Analytics, Finance"
9490,Применение методов искусственного интеллекта в управлении бизнесом,teacher_30,"Изучаются сценарии внедрения технологий искусственного интеллекта в корпоративное управление. Рассматриваются правовые, организационные и этические аспекты автоматизации принятия управленческих бизнес-решений.","Legal Tech, Research, Machine Learning, Business Analysis"
10276,Алгоритмы сжатия данных,teacher_18,"Технический проект, направленный на исследование и оптимизацию базовых алгоритмов компрессии информации. Студенты проанализируют эффективность различных методов сжатия на больших массивах данных.","Data Science, Analytics, Backend"
12452,Мобильное приложение для контроля расходов для детей,teacher_31,"В рамках проекта будет создано мобильное приложение, обучающее детей финансовой грамотности через учет карманных денег. Особое внимание уделяется пользовательскому интерфейсу и геймификации процесса контроля расходов.","Research, Finance, Frontend, Product Management"
13859,Разработка веб приложения на базе микросервисной архитектуры для пиццерии (тема от партнеров),teacher_18,Партнерский проект по созданию масштабируемого веб-приложения для автоматизации операционной работы пиццерии. Система проектируется на базе современных подходов к микросервисной архитектуре.,"Web Development, Frontend, Backend, DevOps"
14076,Ресурсо-эффективная тонкая настройка больших языковых моделей для задачи определения позиции автора(тема от партнера),teacher_32,Задача проекта от партнера Ресурсо-эффективная заключается в дообучении существующих LLM для выявления позиции и сентимента автора в текстах. Будут применяться методы тонкой настройки для улучшения качества NLP-анализа.,"NLP, Machine Learning, Data Science, Research"
14933,Мобильное приложение для запоминания слов с использованием алгоритма интервальных повторений,teacher_31,Проект посвящен разработке образовательного мобильного приложения для изучения иностранных слов. В основу программной системы заложен алгоритм интервальных повторений для повышения эффективности запоминания материала.,"Research, Education, Frontend, Product Management"
15507,Сравнительный анализ применимости моделей VLM для задач компьютерного зрения,teacher_33,Работа проводит глубокое сравнение различных визуально-языковых моделей (VLM) в контексте решения задач компьютерного зрения. Оценивается точность и производительность архитектур на специализированных наборах данных.,"Research, Computer Vision, Machine Learning, Data Science"
16133,"Ценообразование долговых цифровых активов в России: роль ликвидности, кредитного качества и новостного тона",teacher_34,"Исследование фокусируется на макроэкономических факторах, определяющих стоимость цифровых финансовых активов долгового типа в России. Изучается совокупное влияние ликвидности, кредитных рейтингов и новостного фона на ценообразование.","Education, Finance, Economics, Analytics"
2156,Научный подход к предпринимательству и бережливый стартап: сравнительный анализ в контексте новых предприятий,teacher_35,В проекте сопоставляются методология Lean Startup и строго научный подход к запуску новых бизнесов. Анализируется результативность обоих методов на ранних этапах развития предпринимательских инициатив.,"Research, Strategy, Product Management, Business Analysis"
2627,Образовательный кредит как способ сглаживания образовательного неравенства,teacher_36,Исследование рассматривает образовательное кредитование как инструмент обеспечения равного доступа к качественному образованию. Оценивается долгосрочное экономическое и социальное влияние данных финансовых продуктов на общество.,"Research, Education, Economics, Finance"
2992,Заверения об обстоятельствах и условия о возмещении потерь в договорах отчуждения акций и долей: их режим в российском и зарубежном праве,teacher_37,Юридический анализ механизмов распределения рисков в корпоративных сделках по отчуждению активов. Сравнивается российская и зарубежная правоприменительная практика в отношении заверений об обстоятельствах и возмещения потерь.,"Legal Tech, Research, Finance, Business Analysis"
3289,Правовой режим и вопросы правосубъектности искусственного интеллекта,teacher_38,Проект изучает актуальные проблемы правового статуса систем искусственного интеллекта в современном законодательстве. Обсуждаются вопросы юридической ответственности и возможного наделения ИИ элементами правосубъектности.,"Legal Tech, Research, Machine Learning"
3954,Цифровая трансформация люкса: как технологии меняют премиальный клиентский опыт,teacher_39,"Исследование посвящено влиянию глобальной цифровизации на индустрию товаров и услуг класса люкс. Анализируется, как новые технологии помогают брендам персонализировать коммуникацию и улучшать премиальный клиентский опыт.","Research, Marketing, Product Management, Design"
4236,Эффективность государственных инструментов противодействия финансовому мошенничеству,teacher_13,"Работа оценивает текущие государственные меры и инструменты по борьбе с мошенничеством в финансовой сфере. Рассматриваются институциональные, правовые и экономические механизмы защиты средств граждан и бизнеса.","Finance, Economics, Legal Tech, Analytics"
4915,Особенности профессионального выгорания сотрудников в публичных организациях,teacher_40,В исследовании рассматриваются организационные причины и специфика синдрома эмоционального выгорания у работников публичного сектора. Предлагаются превентивные управленческие меры для улучшения условий труда сотрудников.,"Research, Business Analysis, Strategy"
5184,Особенности моральных суждений у людей с неклиническим садизмом,teacher_41,"Психологическое исследование, направленное на изучение специфики принятия моральных решений лицами с выраженными чертами неклинического садизма. Анализируются когнитивные паттерны при решении различных этических дилемм.","Research, Analytics, Education"
5364,"Сравнительный анализ восприятия брендов в сегментах ""fast food"" и ""fine dining""",teacher_23,"Проект сопоставляет имидж брендов в массовом сегменте быстрого питания и в сфере ресторанов высокой кухни. Изучаются ключевые факторы, формирующие лояльность клиентов в этих полярных гастрономических категориях.","Research, Marketing, Analytics"
5482,Правовое регулирование суррогатного материнства в РФ ,teacher_11,"Проект посвящен детальному анализу законодательной базы, регулирующей институт суррогатного материнства в России. Оцениваются существующие правовые пробелы и перспективы развития данной чувствительной сферы.","Legal Tech, Research"
10609,Гибкие формы занятости и трудовые результаты сотрудников: данные из России,teacher_42,Данный проект посвящен анализу влияния гибких форм занятости на трудовые результаты. Исследование основывается на актуальных данных российских компаний.,"Data Science, Analytics, Economics, Research"
13576,Формирование и развитие корпоративной культуры как фактор проактивного поведения сотрудников и повышения конкурентоспособности организации,teacher_43,В рамках проекта исследуется влияние корпоративной культуры на проактивное поведение персонала. Оценивается роль корпоративных ценностей в повышении общей конкурентоспособности организации.,"Research, Business Analysis, Product Management"
13858,Реализация и анализ методов автоматической генерации кода в системах управления потоками данных для получения данных из внешних источников,teacher_44,Проект направлен на создание и анализ алгоритмов автоматической генерации кода. Решение предназначено для интеграции внешних источников в системы управления потоками данных.,"Data Science, Analytics, Backend, Research"
14094,Разработка управляющего ПО для радиомодуля базовой станции мобильной связи 5-го поколения (тема от партнеров),teacher_45,Работа заключается в создании управляющего программного обеспечения для радиомодулей базовых станций 5G. Проект выполняется совместно с индустриальными партнерами.,"Backend, Research, Product Management"
15106,Факторы стоимости компаний в сделках выкупа (LBO): Эмпирический анализ мультипликаторов EV/EBITDA на европейском рынке,teacher_34,"Проводится эмпирический анализ факторов, влияющих на стоимость компаний при сделках LBO. Основной фокус сделан на изучении мультипликаторов EV/EBITDA на европейском рынке.","Finance, Economics, Analytics, Research"
15469,Распознавание фейковых аудио,teacher_46,Тема посвящена разработке алгоритмов для выявления сгенерированных или измененных аудиозаписей. В ходе работы будут применяться современные методы анализа звуковых данных.,"Machine Learning, NLP, Research"
16199,Создание бизнес-плана для вывода на рынок или масштабирования стартапа / нового проекта,teacher_47,Проект охватывает полный цикл создания бизнес-плана для нового стартапа. Особое внимание уделяется стратегиям успешного вывода продукта на рынок и его дальнейшего масштабирования.,"Business Analysis, Strategy, Product Management, Research"
17096,Связь инноваций в бизнес-моделях с результатами деятельности фирмы,teacher_48,Исследуется влияние внедрения инновационных бизнес-моделей на итоговые финансовые показатели компании. Работа направлена на выявление ключевых факторов успеха при бизнес-трансформации.,"Economics, Business Analysis, Strategy, Research"
20618,Влияние языкового образования на развитие межкультурной компетенции студентов,teacher_49,Проект изучает роль языкового образования в формировании навыков межкультурной коммуникации. Анализируется влияние изучения иностранных языков на развитие социальных компетенций студентов.,"Education, Research, NLP"
22378,Психо-экономическое влияние тревоги на командную динамику и эффективность бизнеса,teacher_50,Исследование посвящено анализу воздействия тревоги на внутрикомандное взаимодействие. Изучаются психологические и экономические последствия для общей эффективности бизнеса.,"Economics, Analytics, Business Analysis, Research"
25090,Реализация кодового ассистента для расширения в IDE Visual Studio Code,teacher_7,Проект предполагает разработку интеллектуального помощника для автоматизации написания кода. Решение будет интегрировано в качестве расширения для среды разработки Visual Studio Code.,"Machine Learning, Backend, Frontend, Web Development"
27573,Разработка прототипа 2D игры платформера,teacher_51,Цель проекта заключается в создании функционального прототипа двухмерной видеоигры в жанре платформер. В рамках работы будут проработаны базовые механики и архитектура программного решения.,"Backend, Design, Frontend"
1760,Цифровизация публичных услуг и сервисов: актуальные проблемы правового регулирования	,teacher_52,"Работа посвящена анализу правовых барьеров, возникающих при цифровизации государственных услуг. Рассматриваются вопросы совершенствования нормативного регулирования публичных сервисов.","Legal Tech, Research, Product Management"
2294,Влияние обесценения активов на рыночную оценку компаний,teacher_53,Исследуется процесс обесценения активов и его воздействие на рыночную капитализацию бизнеса. Проект направлен на выявление закономерностей изменения биржевой оценки компаний.,"Finance, Economics, Analytics, Research"
2472,"Карьера государственного служащего: понятие, особенности, проблемы.",teacher_54,"Проект представляет собой комплексный анализ карьерного пути государственных служащих. Изучаются специфика работы, ключевые особенности и современные проблемы продвижения по службе.","Research, Analytics, Strategy"
2710,"Цифровая трансформация ООО ""ПЭК"": стартегия внедрения IoT датчиков для сокращения простоев на 30%",teacher_55,В рамках проекта разрабатывается стратегия цифровизации логистической компании ООО «ПЭК». Внедрение технологий IoT-датчиков нацелено на существенное сокращение времени технологических простоев.,"Strategy, Business Analysis, Analytics, Backend"
3021,Автофикшн в современных аудиовизуальных искусствах,teacher_3,Работа посвящена исследованию жанра автофикшн в современных аудиовизуальных произведениях искусства. Анализируются особенности повествования и саморепрезентации авторов в данном формате.,"Research, Design, Education"
3038,Анализ влияния социально–экономических факторов на объемы ипотечного кредитования в регионах РФ,teacher_53,Исследование направлено на выявление зависимости между различными социально-экономическими показателями и рынком ипотеки. Фокус сделан на обработке статистических данных по регионам РФ.,"Economics, Analytics, Finance, Research"
3286,Правовое регулирование распространения информации в сети Интернет,teacher_38,"Проект изучает действующие нормативные акты, регулирующие распространение информации в глобальной сети. Рассматриваются правовые аспекты, ответственность и ограничения для интернет-площадок.","Legal Tech, Research"
3292,Правовое регулирование обработки обезличенных персональных данных,teacher_38,Анализируется текущее законодательство в сфере сбора и обработки обезличенных данных пользователей. Проект призван выявить пробелы в праве и предложить пути решения нормативных противоречий.,"Legal Tech, Data Science, Research, Analytics"
4067,Разработка сервиса на основе технологий искусственного интеллекта,teacher_56,"Работа посвящена созданию нового программного сервиса, базирующегося на алгоритмах ИИ. Исследование включает этапы проектирования архитектуры, разработки и тестирования интеллектуальных функций.","Machine Learning, Backend, Product Management, Research"
4189,Анализ финансового состояния компании,teacher_57,Осуществляется глубокий аналитический разбор финансовых показателей выбранной организации. На основе данных формируются выводы о текущем уровне ликвидности и устойчивости компании.,"Finance, Economics, Analytics, Business Analysis"
4238,Государственное регулирование учета и контроля земельных участков в Российской Федерации,teacher_13,Проект рассматривает механизмы государственного регулирования и учета земельных фондов. Анализируются существующая нормативно-правовая база и методы административного контроля в России.,"Legal Tech, Research, Economics"
4241,Государственное регулирование учета и контроля нематериальных активов  в Российской Федерации,teacher_13,Исследование посвящено правовым аспектам учета нематериальных активов в Российской Федерации. Оценивается эффективность регулирования и защиты прав на интеллектуальную собственность.,"Legal Tech, Finance, Research"
4527,Инвестиции и финансовые рынки,teacher_58,Работа представляет собой обзор актуальных трендов инвестирования на современных финансовых рынках. Рассматриваются методы оценки прибыльности различных финансовых инструментов и анализ рисков.,"Finance, Economics, Analytics, Strategy"
4782,Маркетинг красоты в российских медиа: психологический и этический аспекты,teacher_4,Проект изучает специфику маркетингового продвижения индустрии красоты в отечественных медиа. Особое внимание уделяется психологическим триггерам и этическим нормам рекламных кампаний.,"Marketing, Strategy, Research, Design"
4790,Мемы в рекламе и маркетинге (на примере кейсов российских компаний),teacher_4,Анализируется эффективность использования интернет-мемов как инструмента продвижения. Исследование базируется на разборе реальных рекламных и маркетинговых кейсов российского бизнеса.,"Marketing, Strategy, Business Analysis, Research"
4805,Анализ эффективности господдержки сельского хозяйства. ,teacher_59,Работа направлена на оценку результативности программ государственной поддержки аграрного сектора. Сравниваются экономические показатели сельскохозяйственных предприятий на фоне получения субсидий.,"Economics, Analytics, Finance, Research"
5350,"Факторы восприятия сервисов ""Buy Now, Pay Later""",teacher_23,"Исследуется потребительское восприятие современных рассрочек и сервисов «Buy Now, Pay Later». Выявляются ключевые факторы, определяющие доверие пользователей и их готовность к использованию таких продуктов.","Finance, Marketing, Analytics, Research"
5700,"ИИ-агенты в бизнесе: исследование движущих сил, препятствий и последствий",teacher_60,"Проект посвящен анализу процессов внедрения интеллектуальных агентов в операционный бизнес. Рассматриваются основные драйверы роста, технологические барьеры и долгосрочные экономические эффекты.","Machine Learning, Business Analysis, Strategy, Research"
5920,Классификация сделок на ничтожные и оспоримые: теоретическая основа и практическое значение  ,teacher_11,Изучается правовая природа разделения недействительных сделок на ничтожные и оспоримые. Оцениваются теоретические концепции и их значение в актуальной юридической практике.,"Legal Tech, Research"
6433,Факторы привлекательности стажировок для студентов и выпускников в HR-коммуникациях работодателей,teacher_61,"Работа исследует роль HR-коммуникаций работодателей в привлечении перспективных выпускников. Оцениваются ключевые факторы, повышающие интерес студентов к прохождению корпоративных стажировок.","Marketing, Research, Education"
6834,Восприятие российскими потребительницами 18-30 лет парфюмерно-косметических брендов (Beauty Brands) и их коммуникации.,teacher_62,Исследование фокусируется на анализе отношения молодой женской аудитории к коммуникациям парфюмерно-косметических брендов. Рассматриваются потребительские предпочтения и общая эффективность брендовых посылов.,"Marketing, Analytics, Research, Strategy"
7716,"Оценка эффективности внедрения контрольно-кассовой техники (ККТ) для ООО ""БЭГГИНС КОФЕ"" в экономических условиях России",teacher_63,Проект оценивает экономическую целесообразность внедрения современной контрольно-кассовой техники в сети «БЭГГИНС КОФЕ». Проводится анализ издержек и выгод в текущих макроэкономических условиях России.,"Economics, Analytics, Finance, Business Analysis"
8324,Правовой режим имущества супругов,teacher_64,"Анализируются нормы семейного и гражданского права, определяющие статус имущества супругов. Рассматриваются актуальные вопросы регулирования совместной собственности и брачных контрактов.","Legal Tech, Research"
8524,Функция полезности на рынке недвижимости,teacher_65,Работа посвящена экономическому моделированию потребительского выбора в сфере недвижимости. Исследуется применение концепции функции полезности для точной оценки предпочтений покупателей.,"Economics, Analytics, Research"
9471,"Разработка креативных решений для коммуникационной кампании проекта ""Котобюро"" Благотворительного фонда защиты городских животных",teacher_66,Цель проекта заключается в создании креативных концепций для продвижения проекта «Котобюро». Разрабатываются коммуникационные решения и маркетинговые материалы для фонда защиты городских животных.,"Marketing, Strategy, Design, Research"
10490,Управление медиарепутацией как маркетинговый инструмент выхода в высокий сегмент для территорий,teacher_67,Проект исследует методы формирования и контроля репутации географических локаций в медиапространстве. Рассматривается влияние имиджа на успешное позиционирование территории в премиальном сегменте.,"Marketing, Strategy, Legal Tech, Research"
10517,Управление банковскими рисками,teacher_68,"Работа представляет собой комплексный обзор систем выявления, оценки и минимизации рисков в банковском секторе. Изучаются нормативные требования и современные инструменты риск-менеджмента.","Finance, Economics, Legal Tech, Analytics"
10763,Использование Искусственного Интеллекта в финансах,teacher_65,"Исследуются практические возможности применения алгоритмов ИИ в финансовой отрасли. Анализируются такие направления, как скоринг, алгоритмический трейдинг и интеллектуальное прогнозирование рынков.","Finance, Economics, Machine Learning, Analytics"
11820,Пространственное неравенство: сравнительно-правовое исследование,teacher_69,"Осуществляется сравнительный анализ нормативно-правовой базы, направленной на сглаживание пространственного неравенства. Проект выявляет наиболее эффективные юридические инструменты для стимулирования регионального развития.","Legal Tech, Research, Economics"
13342,Порошкин А.Г.: Повышение операционной эффективности компании Х,teacher_70,В рамках проекта разрабатывается комплекс мер для системной оптимизации внутренних процессов компании. Анализируются текущие операционные метрики и предлагаются алгоритмы их улучшения.,"Business Analysis, Strategy, Analytics, Research"
13895,Исследование методов прогнозирования временных рядов (тема от партнеров),teacher_18,Проект сфокусирован на изучении и сравнительном анализе математических моделей прогнозирования временных рядов. Решение прикладных задач выполняется по запросу индустриального партнера.,"Data Science, Machine Learning, Analytics, Research"
13907,Анализ программного обеспечения SALES4FOOD на предмет преимуществ и недостатков функционала для решения задач клиентского сервиса и возможностей улучшения. (тема от партнеров),teacher_18,Проводится аудит функционала программного обеспечения SALES4FOOD в контексте задач клиентского сервиса. По итогам исследования партнер получит рекомендации по возможным улучшениям и доработке системы.,"Product Management, Business Analysis, Research, Backend"
14068,Сегментация точек лидарного point cloud ( тема от партнеров),teacher_45,"Работа заключается в исследовании алгоритмов обработки и сегментации облаков точек, полученных с лидаров. Проект тесно связан с задачами компьютерного зрения для партнеров.","Computer Vision, Machine Learning, Data Science, Research"
14452,Защита конфиденциальной информации в организации,teacher_71,"Исследуются методы и инструменты обеспечения информационной безопасности корпоративных данных. Охватываются юридические, организационные и технические аспекты защиты конфиденциальной информации.","Legal Tech, Research, Backend"
15137,Оценка личностных качеств и эффективности собеседования с помощью асинхронных видеоинтервью,teacher_19,Проект посвящен изучению формата асинхронных видеоинтервью при массовом подборе персонала. Анализируется надежность данного метода для выявления профессиональных и личностных качеств кандидатов.,"Research, Analytics, Business Analysis"
15978,Реализация протокола видеопотока по узкому каналу передачи информации,teacher_72,Разрабатывается архитектурное решение для стабильной передачи видеопотока в условиях узкой пропускной способности сети. Оценивается эффективность современных методов сжатия и стриминга данных.,"Backend, Web Development, Research"
18384,Распознавание эмоций (для Буренковой Анны),teacher_73,"Тема посвящена созданию алгоритмов или систем, способных автоматически идентифицировать человеческие эмоции. Будут задействованы методы машинного обучения для анализа визуальных или аудиоданных.","Machine Learning, Computer Vision, Research, Data Science"
24095,"Совершенствование модели управления профессиональным футбольным клубом (на примере ФК ""Спартак"" Москва)",teacher_74,Анализируется текущая структура управления профессиональным спортивным клубом на примере ФК «Спартак» Москва. Разрабатываются стратегические рекомендации по оптимизации внутренних процессов и повышению эффективности.,"Strategy, Business Analysis, Legal Tech, Research"
24731,Сравнительный анализ Регламентов по маркетингу и коммуникациям КХЛ и ВХЛ,teacher_75,Данный проект направлен на проведение сравнительного анализа регламентов по маркетингу и коммуникациям двух хоккейных лиг: КХЛ и ВХЛ. В ходе работы будут выявлены ключевые различия и сходства в подходах к продвижению спортивных событий. Результаты позволят сформировать рекомендации по оптимизации маркетинговых стратегий.,"Marketing, Strategy, Research"
25096,Разработка социальной сети с рекомендательной системой постов на основе методов машинного обучения,teacher_7,Проект посвящен созданию новой социальной сети с интегрированной рекомендательной системой. Для формирования персональной ленты постов будут применяться современные алгоритмы машинного обучения. Это позволит повысить вовлеченность пользователей и улучшить пользовательский опыт.,"Machine Learning, Recommendation Systems, Backend, Frontend"
25275,Краудфандинг как инструмент финансирования стартапов в сфере искусственного интеллекта,teacher_76,Исследование посвящено анализу краудфандинга как эффективного механизма привлечения инвестиций для стартапов в сфере искусственного интеллекта. Будут рассмотрены финансовые и макроэкономические аспекты успешных кампаний. Проект поможет начинающим предпринимателям лучше понять альтернативные источники финансирования.,"Finance, Economics, Research, Business Analysis"
27055,Разработка комплекса маркетинга для запуска бизнеса в сфере доставки функционального питания: «Smart Food Packs»,teacher_77,"Цель проекта — разработать полноценный комплекс маркетинга для нового бизнеса по доставке функционального питания «Smart Food Packs». Работа включает анализ целевой аудитории, позиционирование и стратегию продвижения. Это обеспечит успешный выход бренда на конкурентный рынок доставки еды.","Marketing, Strategy, Business Analysis"
27381,Исследование влияния корпоративного управления на финансовые показатели компании,teacher_65,В рамках проекта проводится глубокий анализ взаимосвязи между качеством корпоративного управления и финансовой результативностью бизнеса. Будут изучены различные метрики и экономические показатели компаний. Результаты исследования помогут оптимизировать управленческие процессы для роста прибыли.,"Finance, Economics, Research, Analytics"
